date_time,price,file_name
1620345600000,56507.759439869595,bitcoin
1620432000000,57361.56904328887,bitcoin
1620518400000,58771.881689509355,bitcoin
1620604800000,58213.926293744385,bitcoin
1620691200000,55901.66759456145,bitcoin
1620777600000,56928.97235660158,bitcoin
1620864000000,50004.76218313686,bitcoin
1620950400000,49972.795398372444,bitcoin
1621036800000,49913.26314398822,bitcoin
1621123200000,46780.902304688214,bitcoin
1621209600000,46585.06413538846,bitcoin
1621296000000,43780.82559782485,bitcoin
1621382400000,43091.04144756922,bitcoin
1621468800000,37287.39140242737,bitcoin
1621555200000,40437.73009625558,bitcoin
1621641600000,37339.63420134628,bitcoin
1621728000000,37520.31767547438,bitcoin
1621814400000,34977.527801962424,bitcoin
1621900800000,38642.4422973396,bitcoin
1621987200000,38210.80521759389,bitcoin
1622073600000,39406.934244116186,bitcoin
1622160000000,38642.89555434217,bitcoin
1622246400000,35710.220936529884,bitcoin
1622332800000,34775.07941347281,bitcoin
1622419200000,35714.75202018067,bitcoin
1622505600000,37340.6792659422,bitcoin
1622592000000,36680.06820180283,bitcoin
1622678400000,37685.71798174826,bitcoin
1622764800000,39151.316183800314,bitcoin
1622851200000,36938.72031139185,bitcoin
1622937600000,35546.98596483364,bitcoin
1623024000000,35834.4744744042,bitcoin
1623110400000,33451.38340714534,bitcoin
1623196800000,33557.15068309184,bitcoin
1623283200000,37553.64375851888,bitcoin
1623369600000,36903.304906778896,bitcoin
1623456000000,37289.43252210222,bitcoin
1623542400000,35666.14977877309,bitcoin
1623628800000,39147.70567879997,bitcoin
1623715200000,40624.51305316154,bitcoin
1623801600000,40378.20254971114,bitcoin
1623888000000,38321.454656574206,bitcoin
1623974400000,38193.619141943964,bitcoin
1624060800000,35881.11137137543,bitcoin
1624147200000,35581.64226773201,bitcoin
1624233600000,35787.07740523232,bitcoin
1624320000000,31711.935467727006,bitcoin
1624406400000,32507.738707026845,bitcoin
1624492800000,33702.61779371396,bitcoin
1624579200000,34675.44910530336,bitcoin
1624665600000,31943.136467863093,bitcoin
1624752000000,32023.973901774916,bitcoin
1624838400000,34607.293274083386,bitcoin
1624924800000,34556.8421269449,bitcoin
1625011200000,35968.993667970346,bitcoin
1625097600000,35171.486304850056,bitcoin
1625184000000,33677.566235922626,bitcoin
1625270400000,33950.786555181,bitcoin
1625356800000,34729.89077801021,bitcoin
1625443200000,35394.213074080915,bitcoin
1625529600000,33928.13421837147,bitcoin
1625616000000,34149.98981477412,bitcoin
1625702400000,33932.25463831538,bitcoin
1625788800000,32933.578199292395,bitcoin
1625875200000,33971.297749757956,bitcoin
1625961600000,33704.53847440508,bitcoin
1626048000000,34299.938016517444,bitcoin
1626134400000,33262.6543524462,bitcoin
1626220800000,32676.38380096018,bitcoin
1626307200000,32878.50187357147,bitcoin
1626393600000,31726.038833909817,bitcoin
1626480000000,31399.653128682126,bitcoin
1626566400000,31588.6713510167,bitcoin
1626652800000,31919.393922554555,bitcoin
1626739200000,30928.211908849244,bitcoin
1626825600000,29971.903783612062,bitcoin
1626912000000,32383.78112696872,bitcoin
1626998400000,32409.499767175417,bitcoin
1627084800000,33455.55127272261,bitcoin
1627171200000,34213.59993217662,bitcoin
1627257600000,35456.124660766836,bitcoin
1627344000000,37281.91809217662,bitcoin
1627430400000,39076.59377063225,bitcoin
1627516800000,40031.19824444798,bitcoin
1627603200000,39977.75693922764,bitcoin
1627689600000,41936.261478677225,bitcoin
1627776000000,41754.16660435275,bitcoin
1627862400000,39914.82975848789,bitcoin
1627948800000,39278.766508103676,bitcoin
1628035200000,38368.35401197897,bitcoin
1628121600000,39751.58457509862,bitcoin
1628208000000,40825.381940449704,bitcoin
1628294400000,42802.13717474142,bitcoin
1628380800000,44647.57760300116,bitcoin
1628467200000,43753.217862646314,bitcoin
1628553600000,46311.00189857689,bitcoin
1628640000000,45639.51401890709,bitcoin
1628726400000,45652.06012506926,bitcoin
1628812800000,44495.20979327958,bitcoin
1628899200000,47717.27052766495,bitcoin
1628985600000,47088.85313451467,bitcoin
1629072000000,47025.00323011282,bitcoin
1629158400000,46031.75754362583,bitcoin
1629244800000,44534.454854219905,bitcoin
1629331200000,45015.46554608543,bitcoin
1629417600000,46745.03462296988,bitcoin
1629504000000,49195.87860189616,bitcoin
1629590400000,48933.689151311635,bitcoin
1629676800000,49250.54486971799,bitcoin
1629763200000,49518.57748790696,bitcoin
1629849600000,47940.6079149608,bitcoin
1629936000000,49002.70376627545,bitcoin
1630022400000,47229.070650876114,bitcoin
1630108800000,49083.10330586219,bitcoin
1630195200000,48936.537254142204,bitcoin
1630281600000,48907.27073106221,bitcoin
1630368000000,47124.25422469402,bitcoin
1630454400000,47335.42029920565,bitcoin
1630540800000,48823.05520964915,bitcoin
1630627200000,49338.78465183332,bitcoin
1630713600000,49934.5282762881,bitcoin
1630800000000,50013.02994694588,bitcoin
1630886400000,51696.206431317885,bitcoin
1630972800000,52739.800166345514,bitcoin
1631059200000,46995.16417095979,bitcoin
1631145600000,46085.02861578186,bitcoin
1631232000000,46518.94118660236,bitcoin
1631318400000,44802.60640249699,bitcoin
1631404800000,45196.488277558245,bitcoin
1631491200000,46195.21830082935,bitcoin
1631577600000,45139.83396873267,bitcoin
1631664000000,47135.43199562694,bitcoin
1631750400000,48186.53275704722,bitcoin
1631836800000,47879.47343992101,bitcoin
1631923200000,47228.65821623257,bitcoin
1632009600000,48266.62707279063,bitcoin
1632096000000,47371.03933236471,bitcoin
1632182400000,42932.94659595412,bitcoin
1632268800000,40386.62363528928,bitcoin
